Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.160125	23983	9211	845	1
58002	34039	0.160257	24023	9122	894	1
58003	34039	0.16227	23873	9285	881	1
58004	34039	0.160243	24000	9169	870	1
58005	34039	0.159112	24043	9160	836	1
58006	34039	0.157819	24129	9076	834	1
58007	34039	0.158935	24052	9154	833	1
58008	34039	0.156967	24195	9002	842	1
58009	34039	0.15823	24149	9008	882	1
58010	34039	0.157716	24174	8993	872	1
58011	34039	0.157599	24131	9087	821	1
58012	34039	0.157466	24163	9032	844	1
58013	34039	0.160022	24019	9146	874	1
58014	34039	0.161477	23974	9137	928	1
58015	34039	0.161403	23937	9216	886	1
58016	34039	0.160125	23986	9205	848	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.15989	24009	9175	855	2
58002	34039	0.16039	24007	9145	887	2
58003	34039	0.159332	24028	9175	836	2
58004	34039	0.159934	24024	9142	873	2
58005	34039	0.160199	23954	9264	821	2
58006	34039	0.15989	23998	9197	844	2
58007	34039	0.158583	24081	9120	838	2
58008	34039	0.156791	24165	9074	800	2
58009	34039	0.154617	24320	8912	807	2
58010	34039	0.153192	24374	8901	764	2
58011	34039	0.152267	24475	8762	802	2
58012	34039	0.152487	24426	8845	768	2
58013	34039	0.153706	24353	8908	778	2
58014	34039	0.153779	24410	8789	840	2
58015	34039	0.154514	24325	8909	805	2
58016	34039	0.153104	24445	8765	829	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.161712	23871	9327	841	3
58002	34039	0.15917	24059	9124	856	3
58003	34039	0.156952	24210	8973	856	3
58004	34039	0.160008	23952	9281	806	3
58005	34039	0.160507	24024	9103	912	3
58006	34039	0.160272	23965	9237	837	3
58007	34039	0.160742	23945	9245	849	3
58008	34039	0.158495	24067	9154	818	3
58009	34039	0.159743	24008	9187	844	3
58010	34039	0.158744	24095	9081	863	3
58011	34039	0.156996	24156	9078	805	3
58012	34039	0.154955	24323	8883	833	3
58013	34039	0.154955	24276	8977	786	3
58014	34039	0.154235	24390	8798	851	3
58015	34039	0.15447	24331	8900	808	3
58016	34039	0.154573	24335	8885	819	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.15989	24040	9113	886	4
58002	34039	0.159846	24021	9154	864	4
58003	34039	0.160992	23933	9252	854	4
58004	34039	0.161903	23957	9142	940	4
58005	34039	0.163606	23762	9416	861	4
58006	34039	0.163856	23775	9373	891	4
58007	34039	0.160992	24027	9064	948	4
58008	34039	0.162255	23897	9238	904	4
58009	34039	0.161565	23885	9309	845	4
58010	34039	0.162784	23874	9248	917	4
58011	34039	0.163827	23820	9285	934	4
