Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.159567	24030	9155	854	1
58002	17728	0.157096	12591	4704	433	1
58003	17595	0.156863	12526	4618	451	1
58004	17789	0.15726	12603	4777	409	1
58005	17985	0.155657	12815	4741	429	1
58006	34039	0.155204	24284	8944	811	1
58007	34039	0.154396	24342	8883	814	1
58008	34039	0.152663	24439	8807	793	1
58009	34039	0.152178	24479	8760	800	1
58010	34039	0.151899	24503	8731	805	1
58011	34039	0.152928	24438	8791	810	1
58012	34039	0.15281	24426	8823	790	1
58013	34039	0.152692	24460	8763	816	1
58014	34039	0.152399	24419	8865	755	1
58015	34039	0.15118	24560	8666	813	1
58016	34039	0.15303	24414	8832	793	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.160492	24003	9146	890	2
58002	17728	0.16378	12423	4803	502	2
58003	17595	0.160756	12371	4791	433	2
58004	17789	0.161364	12528	4781	480	2
58005	17985	0.1598	12710	4802	473	2
58006	34039	0.16108	23961	9190	888	2
58007	34039	0.163136	23882	9208	949	2
58008	34039	0.16393	23806	9306	927	2
58009	34039	0.16224	23876	9281	882	2
58010	34039	0.162005	23908	9233	898	2
58011	34039	0.163812	23780	9366	893	2
58012	34039	0.164855	23722	9411	906	2
58013	34039	0.165208	23763	9305	971	2
58014	34039	0.164047	23816	9278	945	2
58015	34039	0.163533	23769	9407	863	2
58016	34039	0.16249	23865	9286	888	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.161168	23939	9228	872	3
58002	17728	0.161778	12445	4830	453	3
58003	17595	0.160727	12355	4824	416	3
58004	17789	0.157794	12617	4730	442	3
58005	17985	0.158966	12735	4782	468	3
58006	34039	0.157716	24131	9079	829	3
58007	34039	0.15917	24063	9116	860	3
58008	34039	0.160331	24035	9093	911	3
58009	34039	0.161535	23970	9141	928	3
58010	34039	0.161579	23931	9216	892	3
58011	34039	0.164414	23770	9345	924	3
58012	34039	0.165046	23748	9346	945	3
58013	34039	0.165604	23720	9364	955	3
58014	34039	0.164649	23753	9363	923	3
58015	34039	0.163092	23859	9257	923	3
58016	34039	0.162887	23870	9249	920	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.160727	23964	9208	867	4
58002	17728	0.161045	12486	4774	468	4
58003	17595	0.161154	12389	4741	465	4
58004	17789	0.15889	12550	4825	414	4
58005	17985	0.162191	12610	4916	459	4
58006	34039	0.161315	23950	9196	893	4
58007	34039	0.160037	24005	9173	861	4
58008	34039	0.16108	23962	9188	889	4
58009	34039	0.159699	24098	9010	931	4
58010	34039	0.160478	23993	9167	879	4
58011	34039	0.160243	23987	9195	857	4
58012	34039	0.163269	23822	9319	898	4
58013	34039	0.162093	23903	9237	899	4
58014	34039	0.161315	23892	9312	835	4
58015	34039	0.163959	23759	9398	882	4
58016	34039	0.165531	23701	9407	931	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.160169	23968	9238	833	5
58002	17728	0.161129	12454	4835	439	5
58003	17595	0.159875	12420	4724	451	5
58004	17789	0.157738	12600	4766	423	5
58005	17985	0.160745	12654	4880	451	5
58006	34039	0.160595	23987	9171	881	5
58007	34039	0.159552	24069	9078	892	5
58008	34039	0.161535	23927	9227	885	5
58009	34039	0.162901	23865	9258	916	5
58010	34039	0.165105	23710	9418	911	5
58011	34039	0.162901	23817	9354	868	5
58012	34039	0.163122	23855	9263	921	5
58013	34039	0.163739	23760	9411	868	5
58014	34039	0.164091	23774	9359	906	5
58015	34039	0.163606	23817	9306	916	5
58016	34039	0.164826	23740	9377	922	5
58000	34039	0.160434	23992	9172	875	6
58001	34039	0.161712	23897	9275	867	6
58002	17728	0.158619	12542	4748	438	6
58003	17595	0.159562	12442	4691	462	6
58004	17789	0.15726	12633	4717	439	6
58005	17985	0.157993	12759	4769	457	6
58006	34039	0.158656	24106	9065	868	6
58007	34039	0.157275	24119	9133	787	6
58008	34039	0.15823	24154	8998	887	6
58009	34039	0.155763	24268	8938	833	6
58010	34039	0.15682	24197	9008	834	6
58011	34039	0.155087	24295	8930	814	6
58012	34039	0.154279	24333	8909	797	6
58013	34039	0.154734	24321	8902	816	6
