Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.162358	23882	9261	896	1
58002	17020	0.181463	11445	4973	602	1
58003	17020	0.207139	10719	5551	750	1
58004	17020	0.233079	10006	6094	920	1
58005	17020	0.272121	9007	6763	1250	1
58006	34039	0.320941	15700	14829	3510	1
58007	34039	0.319942	15762	14773	3504	1
58008	34039	0.320368	15785	14698	3556	1
58009	34039	0.319898	15735	14830	3474	1
58010	34039	0.32169	15616	14946	3477	1
58011	34039	0.323482	15591	14874	3574	1
58012	34039	0.325553	15467	14981	3591	1
58013	34039	0.326185	15489	14894	3656	1
58014	34039	0.32595	15412	15064	3563	1
58015	34039	0.325171	15456	15029	3554	1
58016	34039	0.324363	15602	14792	3645	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.15967	24040	9128	871	2
58002	17020	0.18255	11374	5078	568	2
58003	17020	0.208461	10616	5712	692	2
58004	17020	0.239865	9844	6187	989	2
58005	17020	0.282432	8782	6862	1376	2
58006	34039	0.33466	14996	15303	3740	2
58007	34039	0.334895	15096	15087	3856	2
58008	34039	0.336056	14981	15238	3820	2
58009	34039	0.337275	14963	15191	3885	2
58010	34039	0.334881	15043	15194	3802	2
58011	34039	0.333955	15128	15087	3824	2
58012	34039	0.334748	14997	15295	3747	2
58013	34039	0.329416	15354	14944	3741	2
58014	34039	0.329769	15273	15082	3684	2
58015	34039	0.32592	15538	14814	3687	2
58016	34039	0.325891	15491	14910	3638	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.161565	23936	9207	896	3
58002	17020	0.18255	11394	5038	588	3
58003	17020	0.207902	10717	5529	774	3
58004	17020	0.243566	9706	6337	977	3
58005	17020	0.28349	8699	6992	1329	3
58006	34039	0.338083	14900	15262	3877	3
58007	34039	0.337657	14838	15415	3786	3
58008	34039	0.339581	14854	15252	3933	3
58009	34039	0.340036	14813	15303	3923	3
58010	34039	0.340727	14787	15308	3944	3
58011	34039	0.340418	14814	15275	3950	3
58012	34039	0.341241	14854	15139	4046	3
58013	34039	0.340536	14885	15125	4029	3
58014	34039	0.336849	14968	15210	3861	3
58015	34039	0.336511	14977	15215	3847	3
58016	34039	0.336423	15016	15143	3880	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.162593	23832	9345	862	4
58002	17020	0.182726	11394	5032	594	4
58003	17020	0.209694	10627	5648	745	4
58004	17020	0.244183	9698	6332	990	4
58005	17020	0.285664	8707	6902	1411	4
58006	34039	0.339875	14914	15112	4013	4
58007	34039	0.339787	14811	15324	3904	4
58008	34039	0.339008	14907	15185	3947	4
58009	34039	0.340888	14751	15369	3919	4
58010	34039	0.341212	14814	15221	4004	4
58011	34039	0.341799	14779	15251	4009	4
58012	34039	0.343621	14641	15403	3995	4
58013	34039	0.341755	14713	15386	3940	4
58014	34039	0.339566	14843	15275	3921	4
58015	34039	0.343503	14697	15299	4043	4
58016	34039	0.344708	14607	15397	4035	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.162622	23877	9253	909	5
58002	17020	0.180787	11411	5064	545	5
58003	17020	0.20047	10875	5466	679	5
58004	17020	0.228937	10112	6023	885	5
58005	17020	0.267186	9128	6689	1203	5
58006	34039	0.315036	15926	14779	3334	5
58007	34039	0.319868	15793	14716	3530	5
58008	34039	0.317224	15898	14686	3455	5
58009	34039	0.314169	16017	14656	3366	5
58010	34039	0.31837	15812	14780	3447	5
58011	34039	0.322454	15638	14850	3551	5
58012	34039	0.324363	15634	14728	3677	5
58013	34039	0.32501	15567	14818	3654	5
58014	34039	0.32595	15418	15052	3569	5
58015	34039	0.325964	15398	15091	3550	5
58016	34039	0.326052	15532	14817	3690	5
58000	34039	0.160434	23992	9172	875	6
58001	34039	0.157804	24168	8999	872	6
58002	17020	0.17926	11491	4956	573	6
58003	17020	0.203496	10798	5517	705	6
58004	17020	0.233167	10063	5977	980	6
58005	17020	0.268772	9092	6707	1221	6
58006	34039	0.31436	15988	14701	3350	6
58007	34039	0.317166	15802	14882	3355	6
58008	34039	0.319369	15832	14672	3535	6
58009	34039	0.320529	15658	14941	3440	6
58010	34039	0.322542	15614	14892	3533	6
58011	34039	0.320779	15739	14762	3538	6
58012	34039	0.318546	15777	14838	3424	6
58013	34039	0.316887	15882	14741	3416	6
58014	34039	0.317783	15866	14712	3461	6
58015	34039	0.318635	15850	14686	3503	6
58016	34039	0.319824	15729	14847	3463	6
58000	34039	0.160434	23992	9172	875	7
58001	34039	0.157231	24189	8996	854	7
58002	17020	0.180376	11424	5052	544	7
58003	17020	0.207961	10690	5581	749	7
58004	17020	0.242039	9795	6211	1014	7
58005	17020	0.285018	8725	6888	1407	7
58006	34039	0.33986	14834	15273	3932	7
58007	34039	0.340683	14812	15261	3966	7
58008	34039	0.339126	14881	15229	3929	7
58009	34039	0.339919	14780	15377	3882	7
58010	34039	0.339287	14908	15164	3967	7
58011	34039	0.339155	14908	15173	3958	7
58012	34039	0.339508	14919	15127	3993	7
58013	34039	0.339331	14849	15279	3911	7
58014	34039	0.338626	14860	15305	3874	7
58015	34039	0.337363	15008	15095	3936	7
58016	34039	0.335865	15033	15147	3859	7
58000	34039	0.160434	23992	9172	875	8
58001	34039	0.159082	24094	9060	885	8
58002	17020	0.177791	11516	4956	548	8
58003	17020	0.205405	10697	5654	669	8
58004	17020	0.232961	9966	6178	876	8
58005	17020	0.273061	8970	6805	1245	8
58006	34039	0.322674	15611	14889	3539	8
58007	34039	0.322689	15583	14944	3512	8
58008	34039	0.32473	15502	14967	3570	8
58009	34039	0.325671	15447	15013	3579	8
58010	34039	0.327286	15320	15157	3562	8
58011	34039	0.3283	15316	15096	3627	8
58012	34039	0.329211	15355	14956	3728	8
58013	34039	0.329034	15325	15028	3686	8
58014	34039	0.326214	15380	15110	3549	8
58015	34039	0.328329	15399	14928	3712	8
58016	34039	0.326155	15452	14970	3617	8
58000	34039	0.160434	23992	9172	875	9
58001	34039	0.159743	24037	9129	873	9
58002	17020	0.179172	11443	5055	522	9
58003	17020	0.201763	10857	5458	705	9
58004	17020	0.229289	10097	6041	882	9
58005	17020	0.268948	9108	6669	1243	9
58006	34039	0.321352	15724	14753	3562	9
58007	34039	0.321323	15681	14841	3517	9
58008	34039	0.320764	15667	14907	3465	9
58009	34039	0.318884	15832	14705	3502	9
58010	34039	0.31859	15730	14929	3380	9
58011	34039	0.317768	15830	14785	3424	9
58012	34039	0.320456	15695	14872	3472	9
58013	34039	0.313743	16063	14593	3383	9
58014	34039	0.316784	15938	14636	3465	9
58015	34039	0.316637	15883	14756	3400	9
58016	34039	0.318473	15844	14709	3486	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.161109	23963	9184	892	10
58002	17020	0.180376	11453	4994	573	10
58003	17020	0.206052	10737	5552	731	10
58004	17020	0.23819	9899	6134	987	10
58005	17020	0.278143	8893	6786	1341	10
58006	34039	0.329446	15291	15068	3680	10
58007	34039	0.327874	15372	15013	3654	10
58008	34039	0.325391	15445	15036	3558	10
58009	34039	0.325656	15513	14882	3644	10
58010	34039	0.323379	15590	14883	3566	10
58011	34039	0.319883	15652	14997	3390	10
58012	34039	0.320147	15749	14785	3505	10
58013	34039	0.319384	15776	14783	3480	10
58014	34039	0.318355	15857	14691	3491	10
58015	34039	0.315036	15867	14897	3275	10
58016	34039	0.312142	16043	14742	3254	10
