Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.159303	24066	9101	872	1
58002	17020	0.177996	11470	5041	509	1
58003	17020	0.199295	10960	5336	724	1
58004	17020	0.232579	10051	6021	948	1
58005	17020	0.270828	9068	6685	1267	1
58006	34039	0.27279	18042	13423	2574	1
58007	34039	0.277285	17784	13633	2622	1
58008	34039	0.280487	17683	13617	2739	1
58009	34039	0.279782	17637	13757	2645	1
58010	34039	0.276859	17757	13716	2566	1
58011	34039	0.281559	17553	13804	2682	1
58012	34039	0.279209	17651	13768	2620	1
58013	34039	0.279973	17558	13902	2579	1
58014	34039	0.279958	17631	13757	2651	1
58015	34039	0.281222	17537	13859	2643	1
58016	34039	0.28294	17514	13788	2737	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.161917	23914	9227	898	2
58002	17020	0.183784	11303	5178	539	2
58003	17020	0.208519	10652	5638	730	2
58004	17020	0.242244	9775	6244	1001	2
58005	17020	0.283931	8736	6903	1381	2
58006	34039	0.282999	17458	13896	2685	2
58007	34039	0.283939	17487	13774	2778	2
58008	34039	0.283616	17422	13926	2691	2
58009	34039	0.283205	17438	13922	2679	2
58010	34039	0.284071	17460	13819	2760	2
58011	34039	0.284262	17404	13918	2717	2
58012	34039	0.282911	17468	13882	2689	2
58013	34039	0.28247	17533	13782	2724	2
58014	34039	0.282103	17527	13819	2693	2
58015	34039	0.284042	17500	13741	2798	2
58016	34039	0.284776	17391	13909	2739	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.161036	23958	9199	882	3
58002	17020	0.187074	11250	5172	598	3
58003	17020	0.212632	10529	5744	747	3
58004	17020	0.245946	9693	6282	1045	3
58005	17020	0.285664	8706	6904	1410	3
58006	34039	0.286495	17299	13976	2764	3
58007	34039	0.283043	17379	14051	2609	3
58008	34039	0.280149	17615	13776	2648	3
58009	34039	0.282	17568	13744	2727	3
58010	34039	0.280693	17611	13747	2681	3
58011	34039	0.280913	17509	13936	2594	3
58012	34039	0.278813	17676	13745	2618	3
58013	34039	0.277344	17764	13669	2606	3
58014	34039	0.277065	17811	13594	2634	3
58015	34039	0.275698	17957	13395	2687	3
58016	34039	0.277094	17807	13600	2632	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.162108	23903	9236	900	4
58002	17020	0.185605	11302	5118	600	4
58003	17020	0.21322	10535	5712	773	4
58004	17020	0.251439	9520	6441	1059	4
58005	17020	0.297562	8356	7199	1465	4
58006	34039	0.297497	16877	14071	3091	4
58007	34039	0.300376	16666	14297	3076	4
58008	34039	0.30374	16426	14548	3065	4
58009	34039	0.302741	16553	14362	3124	4
58010	34039	0.303446	16465	14490	3084	4
58011	34039	0.303578	16491	14429	3119	4
58012	34039	0.306634	16348	14507	3184	4
58013	34039	0.30609	16362	14516	3161	4
58014	34039	0.308337	16213	14661	3165	4
58015	34039	0.307368	16419	14315	3305	4
58016	34039	0.306545	16370	14469	3200	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.158392	24133	9029	877	5
58002	17020	0.177938	11492	4999	529	5
58003	17020	0.201204	10837	5517	666	5
58004	17020	0.229465	10136	5957	927	5
58005	17020	0.268743	9100	6692	1228	5
58006	34039	0.270895	18050	13536	2453	5
58007	34039	0.270704	18150	13349	2540	5
58008	34039	0.26781	18268	13310	2461	5
58009	34039	0.266973	18358	13187	2494	5
58010	34039	0.265974	18413	13145	2481	5
58011	34039	0.267047	18316	13266	2457	5
58012	34039	0.268016	18246	13340	2453	5
58013	34039	0.267399	18279	13316	2444	5
58014	34039	0.269676	18156	13407	2476	5
58015	34039	0.269456	18171	13392	2476	5
58016	34039	0.269132	18225	13306	2508	5
58000	34039	0.160434	23992	9172	875	6
58001	34039	0.158597	24119	9043	877	6
58002	17020	0.17785	11491	5004	525	6
58003	17020	0.201528	10839	5502	679	6
58004	17020	0.228114	10125	6025	870	6
58005	17020	0.26604	9171	6642	1207	6
58006	34039	0.267105	18350	13194	2495	6
58007	34039	0.266488	18274	13388	2377	6
58008	34039	0.268045	18180	13470	2389	6
58009	34039	0.27069	18090	13470	2479	6
58010	34039	0.269	18192	13381	2466	6
58011	34039	0.270014	18133	13430	2476	6
58012	34039	0.270763	18094	13457	2488	6
58013	34039	0.271821	18058	13457	2524	6
58014	34039	0.271586	18059	13471	2509	6
58015	34039	0.272981	17991	13512	2536	6
58016	34039	0.274846	17869	13629	2541	6
58000	34039	0.160434	23992	9172	875	7
58001	34039	0.160022	24009	9166	864	7
58002	17020	0.181757	11430	4993	597	7
58003	17020	0.208696	10646	5644	730	7
58004	17020	0.23349	9996	6100	924	7
