Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.160301	23967	9231	841	1
58002	17383	0.181959	11641	5158	584	1
58003	17674	0.206971	11151	5730	793	1
58004	17813	0.24033	10236	6592	985	1
58005	18093	0.277041	9447	7267	1379	1
58006	34039	0.276609	17773	13701	2565	1
58007	34039	0.277593	17802	13576	2661	1
58008	34039	0.281031	17633	13680	2726	1
58009	34039	0.278607	17748	13615	2676	1
58010	34039	0.27608	17893	13497	2649	1
58011	34039	0.276932	17787	13651	2601	1
58012	34039	0.275111	17894	13561	2584	1
58013	34039	0.274185	17964	13484	2591	1
58014	34039	0.273642	18010	13429	2600	1
58015	34039	0.277153	17868	13474	2697	1
58016	34039	0.275522	17877	13567	2595	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.159317	24017	9198	824	2
58002	17429	0.178323	11792	5058	579	2
58003	17620	0.202526	11209	5685	726	2
58004	17865	0.234845	10423	6493	949	2
58005	18348	0.275343	9612	7368	1368	2
58006	34039	0.273774	18011	13418	2610	2
58007	34039	0.27069	18108	13434	2497	2
58008	34039	0.272584	18024	13473	2542	2
58009	34039	0.274626	17885	13612	2542	2
58010	34039	0.273363	17915	13638	2486	2
58011	34039	0.271527	18058	13477	2504	2
58012	34039	0.273613	17968	13515	2556	2
58013	34039	0.272261	18058	13427	2554	2
58014	34039	0.275845	17798	13703	2538	2
58015	34039	0.276433	17785	13689	2565	2
58016	34039	0.275067	17869	13614	2556	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.160448	23978	9199	862	3
58002	17482	0.180157	11769	5127	586	3
58003	17604	0.207453	11068	5768	768	3
58004	17780	0.244291	10122	6629	1029	3
58005	17905	0.28735	9104	7312	1489	3
58006	34039	0.287259	17311	13900	2828	3
58007	34039	0.290446	17032	14241	2766	3
58008	34039	0.289271	17197	13991	2851	3
58009	34039	0.29005	17159	14014	2866	3
58010	34039	0.291827	17014	14183	2842	3
58011	34039	0.29312	17037	14049	2953	3
58012	34039	0.294354	16953	14133	2953	3
58013	34039	0.294838	16908	14190	2941	3
58014	34039	0.29973	16668	14337	3034	3
58015	34039	0.299333	16746	14208	3085	3
58016	34039	0.296572	16805	14278	2956	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.161565	23901	9277	861	4
58002	17467	0.181456	11718	5159	590	4
58003	17469	0.210859	10857	5857	755	4
58004	17593	0.243023	10077	6481	1035	4
58005	18032	0.285992	9173	7404	1455	4
58006	34039	0.282191	17540	13787	2712	4
58007	34039	0.281794	17559	13776	2704	4
58008	34039	0.283087	17443	13920	2676	4
58009	34039	0.287802	17256	13973	2810	4
58010	34039	0.289726	17131	14092	2816	4
58011	34039	0.289315	17200	13982	2857	4
58012	34039	0.288052	17254	13960	2825	4
58013	34039	0.285569	17401	13835	2803	4
58014	34039	0.281868	17535	13819	2685	4
58015	34039	0.284189	17406	13919	2714	4
58016	34039	0.284688	17478	13741	2820	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.160155	24053	9069	917	5
58002	17728	0.181098	11858	5319	551	5
58003	17595	0.203808	11144	5730	721	5
58004	17789	0.233909	10445	6366	978	5
58005	17985	0.269002	9619	7056	1310	5
58006	34039	0.268148	18269	13285	2485	5
58007	34039	0.267282	18273	13336	2430	5
58008	34039	0.266753	18347	13224	2468	5
58009	34039	0.269	18232	13301	2506	5
58010	34039	0.27113	18074	13472	2493	5
58011	34039	0.273583	17955	13543	2541	5
58012	34039	0.273187	18026	13428	2585	5
58013	34039	0.269999	18155	13387	2497	5
58014	34039	0.269323	18135	13473	2431	5
58015	34039	0.270557	18135	13389	2515	5
58016	34039	0.272202	18076	13395	2568	5
58000	34039	0.160434	23992	9172	875	6
58001	34039	0.159934	24006	9178	855	6
58002	17332	0.178831	11652	5161	519	6
58003	17593	0.2017	11168	5753	672	6
58004	17653	0.23319	10342	6389	922	6
58005	17982	0.272801	9483	7187	1312	6
58006	34039	0.278063	17741	13666	2632	6
58007	34039	0.277549	17742	13699	2598	6
58008	34039	0.274112	17958	13501	2580	6
58009	34039	0.274656	17957	13466	2616	6
58010	34039	0.276653	17842	13560	2637	6
58011	34039	0.277564	17804	13574	2661	6
58012	34039	0.280076	17625	13761	2653	6
58013	34039	0.282485	17586	13675	2778	6
58014	34039	0.282191	17505	13857	2677	6
58015	34039	0.278945	17692	13704	2643	6
58016	34039	0.2794	17750	13557	2732	6
58000	34039	0.160434	23992	9172	875	7
58001	34039	0.161286	23974	9150	915	7
58002	17427	0.183107	11657	5158	612	7
58003	17520	0.209075	10973	5768	779	7
58004	17713	0.244933	10148	6453	1112	7
58005	17936	0.290421	9035	7384	1517	7
58006	34039	0.28836	17232	13983	2824	7
58007	34039	0.288478	17233	13973	2833	7
58008	34039	0.288008	17225	14021	2793	7
58009	34039	0.285276	17397	13863	2779	7
58010	34039	0.285481	17375	13893	2771	7
58011	34039	0.285555	17325	13988	2726	7
58012	34039	0.284908	17447	13788	2804	7
58013	34039	0.282999	17486	13840	2713	7
58014	34039	0.28294	17572	13672	2795	7
58015	34039	0.282455	17531	13787	2721	7
58016	34039	0.280516	17646	13689	2704	7
58000	34039	0.160434	23992	9172	875	8
58001	34039	0.162901	23860	9268	911	8
58002	17442	0.184612	11595	5254	593	8
58003	17565	0.212098	10889	5901	775	8
58004	17867	0.244417	10181	6638	1048	8
58005	18167	0.289563	9174	7465	1528	8
58006	34039	0.288933	17244	13920	2875	8
58007	34039	0.290167	17078	14168	2793	8
58008	34039	0.288919	17179	14051	2809	8
58009	34039	0.292194	17051	14084	2904	8
58010	34039	0.292943	16986	14163	2890	8
58011	34039	0.29594	16961	14009	3069	8
58012	34039	0.294794	16915	14179	2945	8
58013	34039	0.296483	16839	14216	2984	8
58014	34039	0.297409	16845	14141	3053	8
58015	34039	0.295955	16872	14186	2981	8
58016	34039	0.297644	16863	14089	3087	8
58000	34039	0.160434	23992	9172	875	9
58001	34039	0.159126	24059	9127	853	9
58002	17514	0.177429	11895	5023	596	9
58003	17651	0.202963	11198	5741	712	9
58004	17679	0.233073	10414	6289	976	9
58005	17890	0.273505	9438	7118	1334	9
58006	34039	0.27069	18087	13476	2476	9
58007	34039	0.269015	18204	13356	2479	9
58008	34039	0.270352	18179	13315	2545	9
58009	34039	0.270925	18048	13538	2453	9
58010	34039	0.269984	18132	13434	2473	9
58011	34039	0.268516	18183	13432	2424	9
58012	34039	0.272012	18050	13460	2529	9
58013	34039	0.271909	18017	13533	2489	9
58014	34039	0.271541	18113	13366	2560	9
58015	34039	0.27254	17999	13526	2514	9
58016	34039	0.271747	18015	13548	2476	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.159831	24056	9085	898	10
58002	17285	0.17845	11645	5111	529	10
58003	17567	0.200319	11232	5632	703	10
58004	17738	0.234666	10376	6399	963	10
58005	18099	0.27228	9629	7084	1386	10
58006	34039	0.272291	17957	13627	2455	10
58007	34039	0.272437	17979	13573	2487	10
58008	34039	0.274773	17880	13612	2547	10
58009	34039	0.278078	17778	13591	2670	10
58010	34039	0.27777	17766	13636	2637	10
58011	34039	0.275361	17935	13462	2642	10
58012	34039	0.273289	17978	13517	2544	10
58013	34039	0.273569	17938	13578	2523	10
58014	34039	0.273965	17905	13617	2517	10
58015	34039	0.275052	17909	13535	2595	10
58016	34039	0.27492	17874	13614	2551	10
58000	34039	0.160434	23992	9172	875	11
58001	34039	0.159596	24094	9025	920	11
58002	17374	0.183262	11573	5234	567	11
58003	17528	0.210634	10942	5788	798	11
58004	17716	0.246133	10035	6641	1040	11
58005	17975	0.287427	9188	7241	1546	11
58006	34039	0.287714	17333	13825	2881	11
58007	34039	0.287582	17291	13918	2830	11
58008	34039	0.289844	17187	13972	2880	11
58009	34039	0.288919	17189	14031	2819	11
58010	34039	0.29309	17080	13965	2994	11
58011	34039	0.295646	16884	14183	2972	11
58012	34039	0.295294	16872	14231	2936	11
58013	34039	0.295264	16917	14143	2979	11
58014	34039	0.295587	16927	14101	3011	11
58015	34039	0.294618	16950	14121	2968	11
58016	34039	0.29265	17013	14129	2897	11
58000	34039	0.160434	23992	9172	875	12
58001	34039	0.157643	24137	9072	830	12
58002	17389	0.175858	11844	4974	571	12
58003	17456	0.202223	11140	5572	744	12
58004	17759	0.235458	10391	6373	995	12
58005	17895	0.280441	9265	7223	1407	12
58006	34039	0.277079	17811	13593	2635	12
58007	34039	0.27467	17910	13559	2570	12
58008	34039	0.272849	17920	13663	2456	12
58009	34039	0.273686	17958	13530	2551	12
58010	34039	0.26997	18133	13433	2473	12
58011	34039	0.270175	18085	13515	2439	12
58012	34039	0.271277	18007	13596	2436	12
58013	34039	0.274288	17883	13639	2517	12
58014	34039	0.273363	17983	13502	2554	12
58015	34039	0.273598	18017	13418	2604	12
58016	34039	0.272232	18060	13425	2554	12
58000	34039	0.160434	23992	9172	875	13
58001	34039	0.161051	24013	9088	938	13
58002	17550	0.184046	11671	5298	581	13
58003	17611	0.212509	10904	5929	778	13
58004	17705	0.245496	10055	6607	1043	13
58005	17983	0.287994	9186	7236	1561	13
58006	34039	0.290667	17141	14008	2890	13
58007	34039	0.288463	17167	14106	2766	13
58008	34039	0.28861	17250	13930	2859	13
58009	34039	0.29002	17148	14038	2853	13
58010	34039	0.289198	17210	13970	2859	13
58011	34039	0.288052	17241	13986	2812	13
58012	34039	0.287567	17249	14003	2787	13
58013	34039	0.286231	17309	13974	2756	13
58014	34039	0.284086	17455	13828	2756	13
58015	34039	0.285408	17379	13890	2770	13
58016	34039	0.285643	17326	13980	2733	13
58000	34039	0.160434	23992	9172	875	14
58001	34039	0.159552	23997	9222	820	14
58002	17482	0.181129	11739	5153	590	14
58003	17837	0.206201	11289	5740	808	14
58004	17528	0.243268	10075	6378	1075	14
58005	18088	0.285631	9187	7469	1432	14
58006	34039	0.283542	17508	13759	2772	14
58007	34039	0.281442	17611	13696	2732	14
58008	34039	0.279635	17649	13743	2647	14
58009	34039	0.279929	17680	13661	2698	14
58010	34039	0.279958	17592	13835	2612	14
58011	34039	0.282485	17519	13809	2711	14
58012	34039	0.285393	17418	13813	2808	14
58013	34039	0.286686	17314	13933	2792	14
58014	34039	0.284997	17420	13836	2783	14
58015	34039	0.28294	17503	13810	2726	14
58016	34039	0.282911	17478	13862	2699	14
58000	34039	0.160434	23992	9172	875	15
58001	34039	0.15989	23998	9197	844	15
58002	17462	0.184515	11630	5220	612	15
58003	17704	0.210715	11010	5927	767	15
58004	17587	0.244612	10017	6536	1034	15
58005	18105	0.287103	9204	7406	1495	15
58006	34039	0.284997	17378	13920	2741	15
58007	34039	0.283058	17564	13680	2795	15
58008	34039	0.281956	17509	13865	2665	15
58009	34039	0.28175	17553	13791	2695	15
58010	34039	0.281001	17634	13680	2725	15
58011	34039	0.280884	17584	13788	2667	15
58012	34039	0.280619	17674	13626	2739	15
58013	34039	0.284424	17423	13869	2747	15
58014	34039	0.28391	17432	13886	2721	15
58015	34039	0.283895	17451	13849	2739	15
58016	34039	0.284394	17436	13845	2758	15
58000	34039	0.160434	23992	9172	875	16
58001	34039	0.160257	23998	9172	869	16
58002	17539	0.179343	11783	5221	535	16
58003	17643	0.202148	11215	5723	705	16
58004	17854	0.232861	10518	6357	979	16
58005	18001	0.270791	9581	7091	1329	16
58006	34039	0.271042	18127	13372	2540	16
58007	34039	0.26997	18100	13499	2440	16
58008	34039	0.270161	18074	13538	2427	16
58009	34039	0.271659	18039	13506	2494	16
58010	34039	0.27326	17909	13657	2473	16
58011	34039	0.273466	17935	13591	2513	16
58012	34039	0.26925	18085	13578	2376	16
58013	34039	0.266812	18283	13348	2408	16
58014	34039	0.265636	18348	13298	2393	16
58015	34039	0.263433	18476	13192	2371	16
58016	34039	0.263844	18443	13230	2366	16
58000	34039	0.160434	23992	9172	875	17
58001	34039	0.160169	24021	9132	886	17
58002	17480	0.182952	11674	5216	590	17
58003	17460	0.208935	10915	5794	751	17
58004	17841	0.237515	10371	6465	1005	17
58005	18161	0.276554	9579	7119	1463	17
58006	34039	0.276183	17838	13600	2601	17
58007	34039	0.275067	17899	13554	2586	17
58008	34039	0.275948	17867	13558	2614	17
58009	34039	0.273495	17969	13521	2549	17
58010	34039	0.271806	18054	13466	2519	17
58011	34039	0.270557	18086	13487	2466	17
58012	34039	0.271233	18049	13515	2475	17
58013	34039	0.267179	18325	13239	2475	17
58014	34039	0.266812	18333	13248	2458	17
58015	34039	0.265813	18375	13232	2432	17
58016	34039	0.265284	18376	13266	2397	17
58000	34039	0.160434	23992	9172	875	18
58001	34039	0.158318	24115	9070	854	18
58002	17438	0.179006	11760	5113	565	18
58003	17553	0.20441	11100	5730	723	18
58004	17652	0.237877	10242	6422	988	18
58005	18063	0.278359	9402	7266	1395	18
58006	34039	0.279723	17653	13729	2657	18
58007	34039	0.278519	17792	13533	2714	18
58008	34039	0.277784	17784	13599	2656	18
58009	34039	0.276976	17851	13520	2668	18
58010	34039	0.278005	17768	13616	2655	18
58011	34039	0.278798	17769	13560	2710	18
58012	34039	0.280105	17620	13769	2650	18
58013	34039	0.281941	17516	13852	2671	18
58014	34039	0.280987	17602	13745	2692	18
58015	34039	0.280017	17678	13659	2702	18
58016	34039	0.280531	17646	13688	2705	18
58000	34039	0.160434	23992	9172	875	19
58001	34039	0.160272	24015	9137	887	19
58002	17501	0.181675	11737	5169	595	19
58003	17614	0.20549	11124	5741	749	19
58004	17758	0.238766	10256	6524	978	19
58005	18048	0.276679	9462	7185	1401	19
58006	34039	0.278181	17782	13576	2681	19
58007	34039	0.276492	17859	13537	2643	19
58008	34039	0.278372	17725	13677	2637	19
58009	34039	0.276492	17807	13641	2591	19
58010	34039	0.275111	17873	13603	2563	19
58011	34039	0.273701	17966	13513	2560	19
58012	34039	0.274024	17918	13587	2534	19
58013	34039	0.274832	17959	13450	2630	19
58014	34039	0.273524	17972	13513	2554	19
58015	34039	0.274949	17889	13582	2568	19
58016	34039	0.274156	17909	13596	2534	19
58000	34039	0.160434	23992	9172	875	20
58001	34039	0.156703	24189	9032	818	20
58002	17602	0.176798	11959	5062	581	20
58003	17548	0.204553	11110	5697	741	20
58004	17743	0.23722	10320	6428	995	20
58005	17972	0.282022	9264	7279	1429	20
58006	34039	0.279929	17643	13735	2661	20
58007	34039	0.282397	17522	13809	2708	20
58008	34039	0.277505	17758	13670	2611	20
58009	34039	0.27893	17695	13699	2645	20
58010	34039	0.278107	17750	13645	2644	20
58011	34039	0.278152	17726	13690	2623	20
58012	34039	0.276932	17850	13525	2664	20
58013	34039	0.278533	17703	13710	2626	20
58014	34039	0.277872	17780	13601	2658	20
58015	34039	0.278489	17680	13759	2600	20
58016	34039	0.280605	17588	13799	2652	20
58000	34039	0.160434	23992	9172	875	21
58001	34039	0.161242	23909	9283	847	21
58002	17345	0.17887	11686	5113	546	21
58003	17728	0.201489	11283	5746	699	21
58004	17752	0.232706	10419	6404	929	21
58005	17823	0.269652	9525	6984	1314	21
58006	34039	0.27088	18085	13467	2487	21
58007	34039	0.271218	18042	13530	2467	21
58008	34039	0.270645	18082	13489	2468	21
58009	34039	0.270043	18108	13478	2453	21
58010	34039	0.269544	18156	13416	2467	21
58011	34039	0.270895	18136	13364	2539	21
58012	34039	0.268853	18193	13389	2457	21
58013	34039	0.270631	18106	13442	2491	21
58014	34039	0.271791	18043	13489	2507	21
58015	34039	0.270807	18133	13376	2530	21
58016	34039	0.269573	18171	13384	2484	21
58000	34039	0.160434	23992	9172	875	22
58001	34039	0.156908	24194	9008	837	22
58002	17414	0.17463	11865	5016	533	22
58003	17457	0.204016	11079	5633	745	22
58004	17759	0.234585	10382	6422	955	22
58005	18045	0.275007	9450	7265	1330	22
58006	34039	0.275317	17911	13513	2615	22
58007	34039	0.274641	17832	13717	2490	22
58008	34039	0.274127	17994	13428	2617	22
58009	34039	0.278959	17723	13641	2675	22
58010	34039	0.280693	17631	13707	2701	22
58011	34039	0.282088	17543	13788	2708	22
58012	34039	0.281956	17623	13637	2779	22
58013	34039	0.281985	17570	13741	2728	22
58014	34039	0.279385	17652	13754	2633	22
58015	34039	0.278886	17683	13726	2630	22
58016	34039	0.27561	17861	13593	2585	22
