Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.163092	23812	9351	876	1
58002	34039	0.169879	23418	9677	944	1
58003	17019	0.176626	11554	4918	547	1
58004	17019	0.184353	11309	5145	565	1
58005	17019	0.193166	11100	5263	656	1
58006	34039	0.198625	21878	10800	1361	1
58007	34039	0.197949	21848	10906	1285	1
58008	34039	0.199874	21799	10873	1367	1
58009	34039	0.199286	21782	10947	1310	1
58010	34039	0.199433	21803	10895	1341	1
58011	34039	0.201196	21732	10917	1390	1
58012	34039	0.202092	21699	10922	1418	1
58013	34039	0.201857	21670	10996	1373	1
58014	34039	0.201724	21701	10943	1395	1
58015	34039	0.203766	21587	11032	1420	1
58016	34039	0.205661	21471	11135	1433	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.159347	24060	9110	869	2
58002	34039	0.164679	23761	9345	933	2
58003	17019	0.171309	11689	4829	501	2
58004	17019	0.175804	11542	4970	507	2
58005	17019	0.183325	11353	5092	574	2
58006	34039	0.189738	22320	10521	1198	2
58007	34039	0.18893	22375	10466	1198	2
58008	34039	0.187873	22407	10474	1158	2
58009	34039	0.185963	22558	10302	1179	2
58010	34039	0.181395	22822	10085	1132	2
58011	34039	0.18351	22694	10197	1148	2
58012	34039	0.182937	22727	10170	1142	2
58013	34039	0.180778	22822	10127	1090	2
58014	34039	0.179515	22889	10079	1071	2
58015	34039	0.178766	22918	10072	1049	2
58016	34039	0.17925	22939	9997	1103	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.159258	24096	9044	899	3
58002	34039	0.166941	23638	9437	964	3
58003	17019	0.176538	11521	4987	511	3
58004	17019	0.182531	11370	5085	564	3
58005	17019	0.187114	11268	5133	618	3
58006	34039	0.196319	21972	10769	1298	3
58007	34039	0.197377	21920	10801	1318	3
58008	34039	0.197259	21962	10725	1352	3
58009	34039	0.197127	21975	10708	1356	3
58010	34039	0.197876	21897	10813	1329	3
58011	34039	0.199653	21806	10874	1359	3
58012	34039	0.198992	21820	10891	1328	3
58013	34039	0.198273	21885	10810	1344	3
58014	34039	0.200491	21839	10751	1449	3
58015	34039	0.202518	21647	10997	1395	3
58016	34039	0.200109	21758	10939	1342	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.164194	23751	9398	890	4
58002	34039	0.171744	23357	9672	1010	4
58003	17019	0.180152	11446	5014	559	4
58004	17019	0.187467	11214	5229	576	4
58005	17019	0.195576	11022	5337	660	4
58006	34039	0.204354	21545	11076	1418	4
58007	34039	0.203326	21611	11014	1414	4
58008	34039	0.202077	21652	11017	1370	4
58009	34039	0.202209	21699	10914	1426	4
58010	34039	0.204295	21553	11064	1422	4
58011	34039	0.205044	21517	11085	1437	4
58012	34039	0.20406	21584	11018	1437	4
58013	34039	0.20547	21535	11020	1484	4
58014	34039	0.20287	21609	11049	1381	4
58015	34039	0.202709	21667	10944	1428	4
58016	34039	0.203663	21605	11003	1431	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.159508	24043	9133	863	5
58002	34039	0.169511	23428	9682	929	5
58003	17019	0.177243	11550	4905	564	5
58004	17019	0.186351	11228	5239	552	5
58005	17019	0.19537	10994	5400	625	5
58006	34039	0.203399	21589	11053	1397	5
58007	34039	0.204075	21521	11143	1375	5
58008	34039	0.204222	21549	11077	1413	5
58009	34039	0.203708	21558	11094	1387	5
58010	34039	0.20171	21665	11016	1358	5
58011	34039	0.203149	21596	11056	1387	5
58012	34039	0.199712	21829	10824	1386	5
58013	34039	0.200491	21732	10965	1342	5
58014	34039	0.200476	21734	10962	1343	5
58015	34039	0.199844	21787	10899	1353	5
58016	34039	0.198948	21812	10910	1317	5
58000	34039	0.160434	23992	9172	875	6
58001	34039	0.159582	24022	9170	847	6
58002	34039	0.165883	23728	9329	982	6
58003	17019	0.1736	11603	4923	493	6
58004	17019	0.179711	11428	5065	526	6
58005	17019	0.184147	11354	5062	603	6
58006	34039	0.189929	22339	10470	1230	6
58007	34039	0.191486	22289	10464	1286	6
58008	34039	0.191104	22269	10530	1240	6
58009	34039	0.192705	22144	10671	1224	6
58010	34039	0.192647	22198	10567	1274	6
58011	34039	0.193513	22114	10676	1249	6
58012	34039	0.193778	22184	10518	1337	6
58013	34039	0.194571	22079	10674	1286	6
58014	34039	0.194233	22082	10691	1266	6
58015	34039	0.191134	22264	10538	1237	6
58016	34039	0.188181	22479	10309	1251	6
58000	34039	0.160434	23992	9172	875	7
58001	34039	0.160228	23975	9220	844	7
58002	34039	0.165472	23717	9379	943	7
58003	17019	0.171015	11704	4809	506	7
58004	17019	0.176802	11525	4970	524	7
58005	17019	0.180974	11411	5056	552	7
58006	34039	0.186786	22521	10320	1198	7
58007	34039	0.187417	22495	10329	1215	7
58008	34039	0.188387	22413	10427	1199	7
58009	34039	0.187359	22443	10437	1159	7
58010	34039	0.186771	22524	10315	1200	7
58011	34039	0.18611	22521	10366	1152	7
58012	34039	0.184215	22672	10193	1174	7
58013	34039	0.185008	22628	10227	1184	7
58014	34039	0.184054	22671	10206	1162	7
58015	34039	0.184553	22625	10264	1150	7
58016	34039	0.18589	22597	10229	1213	7
58000	34039	0.160434	23992	9172	875	8
58001	34039	0.160316	23975	9214	850	8
58002	34039	0.168057	23531	9575	933	8
58003	17019	0.176068	11564	4917	538	8
58004	17019	0.182561	11394	5036	589	8
58005	17019	0.189935	11158	5257	604	8
58006	34039	0.198478	21866	10834	1339	8
58007	34039	0.196128	22038	10650	1351	8
58008	34039	0.196965	21990	10689	1360	8
58009	34039	0.197083	21900	10861	1278	8
58010	34039	0.197097	21966	10728	1345	8
58011	34039	0.19723	21942	10767	1330	8
58012	34039	0.197259	21936	10777	1326	8
58013	34039	0.197421	21910	10818	1311	8
58014	34039	0.197509	21887	10858	1294	8
58015	34039	0.196554	21986	10725	1328	8
58016	34039	0.196804	21945	10790	1304	8
58000	34039	0.160434	23992	9172	875	9
58001	34039	0.160507	23974	9203	862	9
58002	34039	0.167205	23593	9509	937	9
58003	17019	0.174628	11614	4866	539	9
58004	17019	0.182473	11400	5027	592	9
58005	17019	0.190111	11154	5259	606	9
58006	34039	0.202312	21680	10945	1414	9
58007	34039	0.20193	21709	10913	1417	9
58008	34039	0.203737	21551	11106	1382	9
58009	34039	0.203164	21586	11075	1378	9
58010	34039	0.203752	21588	11031	1420	9
58011	34039	0.20312	21592	11066	1381	9
58012	34039	0.20168	21699	10950	1390	9
58013	34039	0.197656	21892	10838	1309	9
58014	34039	0.197744	21894	10828	1317	9
