Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.161462	23918	9250	871	1
58002	17263	0.167497	11968	4807	488	1
58003	17325	0.172583	11867	4936	522	1
58004	17281	0.181731	11563	5155	563	1
58005	17350	0.189683	11391	5336	623	1
58006	34039	0.188857	22397	10427	1215	1
58007	34039	0.190664	22299	10500	1240	1
58008	34039	0.190649	22253	10593	1193	1
58009	34039	0.192808	22119	10714	1206	1
58010	34039	0.190311	22316	10490	1233	1
58011	34039	0.191016	22263	10548	1228	1
58012	34039	0.193322	22136	10645	1258	1
58013	34039	0.192588	22160	10647	1232	1
58014	34039	0.191986	22291	10426	1322	1
58015	34039	0.191663	22253	10524	1262	1
58016	34039	0.193337	22144	10628	1267	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.161506	23940	9203	896	2
58002	17062	0.168796	11801	4762	499	2
58003	17411	0.176239	11819	5047	545	2
58004	17332	0.184543	11536	5195	601	2
58005	17297	0.19275	11286	5354	657	2
58006	34039	0.194424	22104	10634	1301	2
58007	34039	0.192896	22176	10594	1269	2
58008	34039	0.194439	22076	10689	1274	2
58009	34039	0.194571	22075	10682	1282	2
58010	34039	0.193043	22128	10680	1231	2
58011	34039	0.192235	22211	10569	1259	2
58012	34039	0.190267	22295	10535	1209	2
58013	34039	0.192221	22179	10634	1226	2
58014	34039	0.192647	22175	10613	1251	2
58015	34039	0.189298	22378	10435	1226	2
58016	34039	0.18918	22360	10479	1200	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.160301	23994	9177	868	3
58002	17254	0.167381	11963	4806	485	3
58003	17234	0.170796	11853	4875	506	3
58004	17331	0.180659	11619	5162	550	3
58005	17431	0.188142	11495	5313	623	3
58006	34039	0.188754	22416	10396	1227	3
58007	34039	0.188519	22433	10378	1228	3
58008	34039	0.18893	22387	10442	1210	3
58009	34039	0.189283	22286	10620	1133	3
58010	34039	0.189415	22402	10379	1258	3
58011	34039	0.189474	22371	10437	1231	3
58012	34039	0.191339	22229	10594	1216	3
58013	34039	0.191765	22171	10681	1187	3
58014	34039	0.194145	22113	10635	1291	3
58015	34039	0.196099	21991	10746	1302	3
58016	34039	0.195658	22033	10692	1314	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.160316	23981	9202	856	4
58002	17442	0.170135	11990	4969	483	4
58003	17352	0.176608	11762	5051	539	4
58004	17339	0.186026	11464	5299	576	4
58005	17333	0.192638	11296	5396	641	4
58006	34039	0.190458	22328	10456	1255	4
58007	34039	0.192882	22216	10515	1308	4
58008	34039	0.194424	22101	10640	1298	4
58009	34039	0.196069	22056	10618	1365	4
58010	34039	0.199506	21856	10784	1399	4
58011	34039	0.199271	21820	10872	1347	4
58012	34039	0.1977	21968	10683	1388	4
58013	34039	0.198684	21840	10872	1327	4
58014	34039	0.200138	21807	10839	1393	4
58015	34039	0.200402	21738	10959	1342	4
58016	34039	0.200285	21784	10875	1380	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.1592	24051	9138	850	5
58002	17427	0.163482	12210	4736	481	5
58003	17209	0.169591	11854	4873	482	5
58004	17359	0.177746	11750	5047	562	5
