Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.158142	24154	9004	881	1
58002	34039	0.159552	24057	9102	880	1
58003	17728	0.158083	12564	4723	441	1
58004	17595	0.157175	12522	4615	458	1
58005	17789	0.158244	12609	4730	450	1
58006	17985	0.163553	12538	5011	436	1
58007	34039	0.163548	23880	9184	975	1
58008	34039	0.1639	23743	9434	862	1
58009	34039	0.164855	23751	9353	935	1
58010	34039	0.166339	23652	9450	937	1
58011	34039	0.166118	23671	9427	941	1
58012	34039	0.164987	23728	9390	921	1
58013	34039	0.163753	23780	9370	889	1
58014	34039	0.163166	23863	9244	932	1
58015	34039	0.162255	23887	9258	894	1
58016	34039	0.161976	23911	9229	899	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.161462	23925	9236	878	2
58002	34039	0.159112	24026	9194	819	2
58003	17728	0.161581	12458	4811	459	2
58004	17595	0.161068	12341	4840	414	2
58005	17789	0.160211	12559	4760	470	2
58006	17985	0.156547	12825	4689	471	2
58007	34039	0.15472	24327	8891	821	2
58008	34039	0.154587	24332	8890	817	2
58009	34039	0.15259	24396	8898	745	2
58010	34039	0.150137	24579	8699	761	2
58011	34039	0.15259	24439	8812	788	2
58012	34039	0.152825	24431	8812	796	2
58013	34039	0.150607	24559	8707	773	2
58014	34039	0.150915	24548	8708	783	2
58015	34039	0.15162	24505	8746	788	2
58016	34039	0.150974	24528	8744	767	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.159861	23985	9225	829	3
58002	34039	0.159802	24003	9193	843	3
58003	17728	0.161524	12413	4903	412	3
58004	17595	0.163342	12325	4792	478	3
58005	17789	0.167913	12329	4946	514	3
58006	17985	0.167862	12449	5034	502	3
58007	34039	0.168527	23525	9555	959	3
58008	34039	0.171259	23385	9649	1005	3
58009	34039	0.170642	23436	9589	1014	3
58010	34039	0.17098	23380	9678	981	3
58011	34039	0.172831	23287	9738	1014	3
58012	34039	0.170848	23379	9689	971	3
58013	34039	0.167323	23562	9563	914	3
58014	34039	0.167984	23546	9550	943	3
58015	34039	0.16885	23483	9617	939	3
58016	34039	0.168777	23543	9502	994	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.159023	24043	9166	830	4
58002	34039	0.157804	24146	9043	850	4
58003	17728	0.157773	12556	4750	422	4
58004	17595	0.159307	12415	4754	426	4
58005	17789	0.160324	12532	4810	447	4
58006	17985	0.163803	12628	4822	535	4
58007	34039	0.161976	23879	9293	867	4
58008	34039	0.160713	24000	9137	902	4
58009	34039	0.161903	23929	9198	912	4
58010	34039	0.161388	23930	9231	878	4
58011	34039	0.160566	23960	9227	852	4
58012	34039	0.162314	23910	9208	921	4
58013	34039	0.162329	23907	9213	919	4
58014	34039	0.162608	23868	9272	899	4
58015	34039	0.161667	23900	9272	867	4
58016	34039	0.161535	23943	9195	901	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.160404	24009	9140	890	5
58002	34039	0.160683	23958	9223	858	5
58003	17728	0.160706	12509	4740	479	5
58004	17595	0.163711	12315	4799	481	5
58005	17789	0.166254	12374	4915	500	5
58006	17985	0.168696	12407	5088	490	5
58007	34039	0.169702	23459	9607	973	5
58008	34039	0.173037	23280	9738	1021	5
58009	34039	0.173242	23242	9800	997	5
58010	34039	0.173786	23281	9685	1073	5
58011	34039	0.176827	23018	10004	1017	5
58012	34039	0.178516	22987	9951	1101	5
58013	34039	0.179177	22988	9904	1147	5
58014	34039	0.180367	22875	10049	1115	5
58015	34039	0.181086	22847	10056	1136	5
58016	34039	0.181982	22712	10265	1062	5
58000	34039	0.160434	23992	9172	875	6
58001	34039	0.160816	24002	9126	911	6
58002	34039	0.162754	23808	9382	849	6
58003	17728	0.162398	12449	4800	479	6
58004	17595	0.161154	12393	4733	469	6
58005	17789	0.163275	12475	4819	495	6
58006	17985	0.163525	12576	4936	473	6
58007	34039	0.164135	23793	9318	928	6
58008	34039	0.163298	23832	9297	910	6
58009	34039	0.162652	23881	9243	915	6
58010	34039	0.163151	23843	9285	911	6
58011	34039	0.163269	23831	9301	907	6
58012	34039	0.163724	23801	9330	908	6
58013	34039	0.163709	23776	9381	882	6
58014	34039	0.165281	23760	9306	973	6
58015	34039	0.164605	23775	9322	942	6
58016	34039	0.163621	23836	9267	936	6
58000	34039	0.160434	23992	9172	875	7
58001	34039	0.157878	24162	9006	871	7
58002	34039	0.158597	24096	9089	854	7
58003	17728	0.156024	12637	4650	441	7
58004	17595	0.156067	12517	4664	414	7
58005	17789	0.153972	12753	4594	442	7
58006	17985	0.155074	12830	4732	423	7
58007	34039	0.15704	24221	8945	873	7
58008	34039	0.156967	24199	8994	846	7
58009	34039	0.15657	24253	8913	873	7
58010	34039	0.155381	24307	8886	846	7
58011	34039	0.157657	24150	9045	844	7
58012	34039	0.156042	24215	9025	799	7
58013	34039	0.156835	24179	9043	817	7
58014	34039	0.157364	24193	8979	867	7
58015	34039	0.156879	24193	9012	834	7
58016	34039	0.155219	24259	8993	787	7
58000	34039	0.160434	23992	9172	875	8
58001	34039	0.161462	23981	9124	934	8
58002	34039	0.163092	23870	9235	934	8
58003	17728	0.160706	12505	4748	475	8
58004	17595	0.164393	12257	4891	447	8
58005	17789	0.165411	12369	4955	465	8
58006	17985	0.162024	12640	4862	483	8
58007	34039	0.162813	23835	9324	880	8
58008	34039	0.16346	23833	9284	922	8
58009	34039	0.165252	23731	9366	942	8
58010	34039	0.167029	23667	9373	999	8
58011	34039	0.167044	23618	9470	951	8
58012	34039	0.167073	23630	9444	965	8
58013	34039	0.166588	23682	9373	984	8
58014	34039	0.166838	23647	9426	966	8
58015	34039	0.164973	23729	9389	921	8
58016	34039	0.164884	23798	9257	984	8
58000	34039	0.160434	23992	9172	875	9
58001	34039	0.161432	23937	9214	888	9
58002	34039	0.161932	23935	9184	920	9
58003	17728	0.162314	12422	4857	449	9
58004	17595	0.157772	12471	4696	428	9
58005	17789	0.156614	12632	4742	415	9
58006	17985	0.156519	12791	4758	436	9
58007	34039	0.154485	24361	8839	839	9
58008	34039	0.154705	24327	8892	820	9
58009	34039	0.152678	24466	8752	821	9
58010	34039	0.152502	24429	8838	772	9
58011	34039	0.15212	24465	8792	782	9
58012	34039	0.151576	24487	8785	767	9
58013	34039	0.153633	24356	8907	776	9
58014	34039	0.151444	24487	8794	758	9
58015	34039	0.15328	24353	8937	749	9
58016	34039	0.152766	24408	8862	769	9
58000	34039	0.160434	23992	9172	875	10
58001	34039	0.159273	24073	9089	877	10
58002	34039	0.158245	24090	9125	824	10
58003	17728	0.156814	12626	4644	458	10
58004	17595	0.159704	12439	4692	464	10
58005	17789	0.160633	12513	4837	439	10
58006	17985	0.16055	12686	4823	476	10
58007	34039	0.15917	24089	9064	886	10
58008	34039	0.158583	24088	9106	845	10
58009	34039	0.160375	23971	9218	850	10
58010	34039	0.158656	24091	9095	853	10
58011	34039	0.157672	24133	9078	828	10
58012	34039	0.160096	24013	9153	873	10
58013	34039	0.159831	24031	9135	873	10
58014	34039	0.161124	23942	9225	872	10
58015	34039	0.158451	24134	9023	882	10
