Generation	Ne	Frequency	WT	HET	HOM	Fit(WT)	Fit(HET)	Fit(HOM)	Replicate
58000	34039	0.160434	23992	9172	875	1	1	1	1
58001	34039	0.160419	23995	9167	877	1	1	1	1
58002	17550	0.158689	12429	4672	449	0.520814	0.520814	0.520814	1
58003	17325	0.161356	12170	4719	436	0.516907	0.516907	0.516907	1
58004	17760	0.162669	12441	4860	459	0.522606	0.522606	0.522606	1
58005	17946	0.162599	12592	4872	482	0.528365	0.528365	0.528365	1
58006	34039	0.161227	23955	9192	892	1	1	1	1
58007	34039	0.159758	24047	9108	884	1	1	1	1
58008	34039	0.161286	23944	9210	885	1	1	1	1
58009	34039	0.162696	23833	9336	870	1	1	1	1
58010	34039	0.161844	23928	9204	907	1	1	1	1
58011	34039	0.160977	23979	9161	899	1	1	1	1
58012	34039	0.160962	23966	9188	885	1	1	1	1
58013	34039	0.16039	23998	9163	878	1	1	1	1
58014	34039	0.158597	24138	9005	896	1	1	1	1
58015	34039	0.159611	24032	9148	859	1	1	1	1
58016	34039	0.160022	24028	9128	883	1	1	1	1
58000	34039	0.160434	23992	9172	875	1	1	1	2
58001	34039	0.161741	23962	9143	934	1	1	1	2
58002	17628	0.161419	12370	4825	433	0.520814	0.520814	0.520814	2
58003	17493	0.163294	12242	4789	462	0.516907	0.516907	0.516907	2
58004	17724	0.161673	12458	4801	465	0.522606	0.522606	0.522606	2
58005	17986	0.167436	12487	4975	524	0.528365	0.528365	0.528365	2
58006	34039	0.1691	23505	9556	978	1	1	1	2
58007	34039	0.166676	23661	9409	969	1	1	1	2
58008	34039	0.166118	23704	9361	974	1	1	1	2
58009	34039	0.165648	23709	9383	947	1	1	1	2
58010	34039	0.168674	23507	9581	951	1	1	1	2
58011	34039	0.167161	23590	9518	931	1	1	1	2
58012	34039	0.165149	23737	9361	941	1	1	1	2
58013	34039	0.165869	23705	9376	958	1	1	1	2
58014	34039	0.167367	23583	9518	938	1	1	1	2
58015	34039	0.164106	23773	9360	906	1	1	1	2
58016	34039	0.164958	23746	9356	937	1	1	1	2
58000	34039	0.160434	23992	9172	875	1	1	1	3
58001	34039	0.162152	23889	9261	889	1	1	1	3
58002	17739	0.161762	12465	4809	465	0.520814	0.520814	0.520814	3
58003	17514	0.163127	12287	4740	487	0.516907	0.516907	0.516907	3
58004	17852	0.161382	12576	4790	486	0.522606	0.522606	0.522606	3
58005	18051	0.157221	12827	4772	452	0.528365	0.528365	0.528365	3
58006	34039	0.156614	24213	8990	836	1	1	1	3
58007	34039	0.156732	24234	8940	865	1	1	1	3
58008	34039	0.157599	24118	9113	808	1	1	1	3
58009	34039	0.157613	24156	9036	847	1	1	1	3
58010	34039	0.157466	24144	9070	825	1	1	1	3
58011	34039	0.157511	24173	9009	857	1	1	1	3
58012	34039	0.15754	24121	9111	807	1	1	1	3
58013	34039	0.155292	24297	8912	830	1	1	1	3
58014	34039	0.153897	24349	8903	787	1	1	1	3
58015	34039	0.153941	24354	8890	795	1	1	1	3
58016	34039	0.155645	24234	9014	791	1	1	1	3
58000	34039	0.160434	23992	9172	875	1	1	1	4
58001	34039	0.158495	24110	9068	861	1	1	1	4
58002	17696	0.156335	12584	4691	421	0.520814	0.520814	0.520814	4
58003	17681	0.156156	12647	4546	488	0.516907	0.516907	0.516907	4
58004	17844	0.157952	12686	4679	479	0.522606	0.522606	0.522606	4
58005	17964	0.154949	12800	4761	403	0.528365	0.528365	0.528365	4
58006	34039	0.153926	24393	8813	833	1	1	1	4
58007	34039	0.153427	24392	8849	798	1	1	1	4
58008	34039	0.152311	24411	8887	741	1	1	1	4
58009	34039	0.153926	24315	8969	755	1	1	1	4
58010	34039	0.152178	24491	8736	812	1	1	1	4
58011	34039	0.150328	24597	8650	792	1	1	1	4
58012	34039	0.151591	24540	8678	821	1	1	1	4
58013	34039	0.15115	24535	8718	786	1	1	1	4
58014	34039	0.153265	24371	8902	766	1	1	1	4
58015	34039	0.152237	24457	8800	782	1	1	1	4
58016	34039	0.152781	24402	8873	764	1	1	1	4
58000	34039	0.160434	23992	9172	875	1	1	1	5
58001	34039	0.16014	23988	9200	851	1	1	1	5
58002	17719	0.161042	12493	4745	481	0.520814	0.520814	0.520814	5
58003	17708	0.159109	12504	4773	431	0.516907	0.516907	0.516907	5
58004	17821	0.158886	12608	4763	450	0.522606	0.522606	0.522606	5
58005	17909	0.160199	12613	4854	442	0.528365	0.528365	0.528365	5
58006	34039	0.160595	23958	9229	852	1	1	1	5
58007	34039	0.160669	23960	9220	859	1	1	1	5
58008	34039	0.160962	23966	9188	885	1	1	1	5
58009	34039	0.161756	23924	9218	897	1	1	1	5
58010	34039	0.160654	23999	9143	897	1	1	1	5
58011	34039	0.161153	23923	9261	855	1	1	1	5
58012	34039	0.161829	23907	9247	885	1	1	1	5
58013	34039	0.162681	23884	9235	920	1	1	1	5
58014	34039	0.163386	23819	9317	903	1	1	1	5
58015	34039	0.162564	23902	9207	930	1	1	1	5
58016	34039	0.161932	23970	9114	955	1	1	1	5
58000	34039	0.160434	23992	9172	875	1	1	1	6
58001	34039	0.160287	23986	9194	859	1	1	1	6
58002	17768	0.158403	12587	4733	448	0.520814	0.520814	0.520814	6
58003	17590	0.159608	12453	4659	478	0.516907	0.516907	0.516907	6
58004	17952	0.162572	12622	4823	507	0.522606	0.522606	0.522606	6
58005	18005	0.164732	12558	4962	485	0.528365	0.528365	0.528365	6
58006	34039	0.166074	23711	9350	978	1	1	1	6
58007	34039	0.165736	23687	9421	931	1	1	1	6
58008	34039	0.165163	23699	9436	904	1	1	1	6
58009	34039	0.166265	23649	9461	929	1	1	1	6
58010	34039	0.165075	23702	9436	901	1	1	1	6
58011	34039	0.164738	23742	9379	918	1	1	1	6
58012	34039	0.162637	23874	9258	907	1	1	1	6
58013	34039	0.160962	23956	9208	875	1	1	1	6
58014	34039	0.161947	23922	9209	908	1	1	1	6
58015	34039	0.162005	23929	9191	919	1	1	1	6
58016	34039	0.161095	23973	9165	901	1	1	1	6
58000	34039	0.160434	23992	9172	875	1	1	1	7
58001	34039	0.159185	24054	9133	852	1	1	1	7
58002	17760	0.158812	12543	4793	424	0.520814	0.520814	0.520814	7
58003	17528	0.161171	12312	4782	434	0.516907	0.516907	0.516907	7
58004	17702	0.164275	12371	4846	485	0.522606	0.522606	0.522606	7
58005	18064	0.164803	12566	5042	456	0.528365	0.528365	0.528365	7
58006	34039	0.163342	23790	9378	871	1	1	1	7
58007	34039	0.163783	23777	9374	888	1	1	1	7
58008	34039	0.16296	23828	9328	883	1	1	1	7
58009	34039	0.161153	23951	9205	883	1	1	1	7
58010	34039	0.161741	23917	9233	889	1	1	1	7
58011	34039	0.159332	24116	8999	924	1	1	1	7
58012	34039	0.157687	24168	9007	864	1	1	1	7
58013	34039	0.157481	24165	9027	847	1	1	1	7
58014	34039	0.156629	24201	9013	825	1	1	1	7
58015	34039	0.155704	24293	8892	854	1	1	1	7
58016	34039	0.153647	24381	8856	802	1	1	1	7
58000	34039	0.160434	23992	9172	875	1	1	1	8
58001	34039	0.161785	23964	9136	939	1	1	1	8
58002	17564	0.163089	12316	4767	481	0.520814	0.520814	0.520814	8
58003	17476	0.16494	12179	4829	468	0.516907	0.516907	0.516907	8
58004	17887	0.163974	12493	4922	472	0.522606	0.522606	0.522606	8
58005	17919	0.167615	12456	4919	544	0.528365	0.528365	0.528365	8
58006	34039	0.168263	23559	9505	975	1	1	1	8
58007	34039	0.171421	23400	9608	1031	1	1	1	8
58008	34039	0.168806	23514	9558	967	1	1	1	8
58009	34039	0.168939	23458	9661	920	1	1	1	8
58010	34039	0.167382	23591	9501	947	1	1	1	8
58011	34039	0.1665	23651	9441	947	1	1	1	8
58012	34039	0.164341	23789	9312	938	1	1	1	8
58013	34039	0.164297	23785	9323	931	1	1	1	8
58014	34039	0.166309	23673	9410	956	1	1	1	8
58015	34039	0.168645	23566	9465	1008	1	1	1	8
58016	34039	0.166691	23585	9560	894	1	1	1	8
58000	34039	0.160434	23992	9172	875	1	1	1	9
58001	34039	0.159964	24045	9098	896	1	1	1	9
58002	17915	0.158526	12696	4758	461	0.520814	0.520814	0.520814	9
58003	17581	0.158893	12447	4681	453	0.516907	0.516907	0.516907	9
58004	17914	0.16088	12628	4808	478	0.522606	0.522606	0.522606	9
58005	17954	0.159073	12689	4818	447	0.528365	0.528365	0.528365	9
58006	34039	0.159391	24058	9111	870	1	1	1	9
58007	34039	0.1618	23905	9253	881	1	1	1	9
58008	34039	0.160683	23993	9153	893	1	1	1	9
58009	34039	0.163048	23848	9282	909	1	1	1	9
58010	34039	0.16224	23904	9225	910	1	1	1	9
58011	34039	0.162299	23877	9275	887	1	1	1	9
58012	34039	0.160551	24011	9126	902	1	1	1	9
58013	34039	0.159699	24034	9138	867	1	1	1	9
58014	34039	0.159229	24082	9074	883	1	1	1	9
58015	34039	0.159552	24041	9134	864	1	1	1	9
58016	34039	0.158686	24125	9025	889	1	1	1	9
58000	34039	0.160434	23992	9172	875	1	1	1	10
