Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.161388	23938	9215	886	1
58002	20469	0.163662	14328	5582	559	1
58003	16473	0.162387	11555	4486	432	1
58004	15083	0.163429	10561	4114	408	1
58005	14478	0.165113	10137	3901	440	1
58006	34039	0.164429	23744	9396	899	1
58007	34039	0.163753	23810	9310	919	1
58008	34039	0.162696	23847	9308	884	1
58009	34039	0.162152	23906	9227	906	1
58010	34039	0.164326	23760	9371	908	1
58011	34039	0.161991	23883	9284	872	1
58012	34039	0.160771	23979	9175	885	1
58013	34039	0.161006	23964	9189	886	1
58014	34039	0.161565	23947	9185	907	1
58015	34039	0.159934	24018	9154	867	1
58016	34039	0.158553	24106	9072	861	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.159405	24046	9134	859	2
58002	20189	0.159344	14253	5438	498	2
58003	16426	0.159199	11586	4450	390	2
58004	15178	0.155554	10821	3992	365	2
58005	14648	0.15538	10469	3806	373	2
58006	34039	0.155527	24248	8994	797	2
58007	34039	0.153324	24391	8858	790	2
58008	34039	0.153133	24455	8743	841	2
58009	34039	0.15281	24429	8817	793	2
58010	34039	0.151855	24492	8756	791	2
58011	34039	0.153897	24403	8795	841	2
58012	34039	0.155146	24299	8918	822	2
58013	34039	0.15472	24334	8877	828	2
58014	34039	0.150563	24580	8668	791	2
58015	34039	0.15043	24560	8717	762	2
58016	34039	0.151973	24462	8808	769	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.161506	23952	9179	908	3
58002	20193	0.164092	14105	5549	539	3
58003	16429	0.16553	11447	4525	457	3
58004	15126	0.16313	10595	4127	404	3
58005	14816	0.16246	10396	4026	394	3
58006	34039	0.16274	23890	9219	930	3
58007	34039	0.16296	23863	9258	918	3
58008	34039	0.159802	24013	9173	853	3
58009	34039	0.160507	24053	9045	941	3
58010	34039	0.160654	23990	9161	888	3
58011	34039	0.159009	24100	9053	886	3
58012	34039	0.159538	24034	9149	856	3
58013	34039	0.160713	23991	9155	893	3
58014	34039	0.160683	23989	9161	889	3
58015	34039	0.160419	24008	9141	890	3
58016	34039	0.160948	23959	9203	877	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.160816	23953	9224	862	4
58002	20431	0.158509	14479	5427	525	4
58003	16472	0.160424	11568	4523	381	4
58004	15135	0.160126	10627	4169	339	4
58005	14729	0.156664	10472	3899	358	4
58006	34039	0.15541	24307	8884	848	4
58007	34039	0.155924	24270	8923	846	4
58008	34039	0.155586	24295	8896	848	4
58009	34039	0.156761	24197	9012	830	4
58010	34039	0.155175	24317	8880	842	4
58011	34039	0.154852	24343	8850	846	4
58012	34039	0.156673	24181	9050	808	4
58013	34039	0.157746	24108	9123	808	4
58014	34039	0.15704	24174	9039	826	4
58015	34039	0.157481	24170	9017	852	4
58016	34039	0.155733	24285	8906	848	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.161667	23923	9226	890	5
58002	20218	0.161984	14166	5554	498	5
58003	16192	0.160419	11402	4385	405	5
58004	15077	0.160642	10620	4070	387	5
58005	14657	0.160981	10320	3955	382	5
