Generation	Ne	Frequency	Replicate
58000	34039	0.160434	1
58001	34039	0.160977	1
58002	9911	0.16179	1
58003	26832	0.162101	1
58004	30706	0.163584	1
58005	32037	0.16342	1
58006	34039	0.163386	1
58007	34039	0.165722	1
58008	34039	0.166867	1
58009	34039	0.16838	1
58010	34039	0.167778	1
58011	34039	0.166867	1
58012	34039	0.166911	1
58013	34039	0.16841	1
58014	34039	0.165399	1
58015	34039	0.162901	1
58016	34039	0.162887	1
58000	34039	0.160434	2
58001	34039	0.163327	2
58002	9822	0.165139	2
58003	26979	0.163257	2
58004	30533	0.164396	2
58005	32027	0.165095	2
58006	34039	0.165751	2
58007	34039	0.166309	2
58008	34039	0.164003	2
58009	34039	0.159949	2
58010	34039	0.15826	2
58011	34039	0.156747	2
58012	34039	0.157099	2
58013	34039	0.157143	2
58014	34039	0.159743	2
58015	34039	0.158671	2
58016	34039	0.160948	2
58000	34039	0.160434	3
58001	34039	0.159023	3
58002	9879	0.16034	3
58003	26956	0.160799	3
58004	30694	0.16324	3
58005	32006	0.163079	3
58006	34039	0.163841	3
58007	34039	0.16271	3
58008	34039	0.160889	3
58009	34039	0.159494	3
58010	34039	0.162505	3
58011	34039	0.163783	3
58012	34039	0.163298	3
58013	34039	0.164209	3
58014	34039	0.165707	3
58015	34039	0.162872	3
58016	34039	0.161036	3
58000	34039	0.160434	4
58001	34039	0.15992	4
58002	9803	0.158064	4
58003	27040	0.159246	4
58004	30587	0.159087	4
58005	31968	0.161255	4
58006	34039	0.161227	4
58007	34039	0.160066	4
58008	34039	0.16086	4
58009	34039	0.159347	4
58010	34039	0.157834	4
58011	34039	0.158465	4
58012	34039	0.157349	4
58013	34039	0.157525	4
58014	34039	0.156923	4
58015	34039	0.155513	4
58016	34039	0.152516	4
58000	34039	0.160434	5
58001	34039	0.159582	5
58002	9923	0.167238	5
58003	26939	0.168121	5
58004	30745	0.168369	5
58005	32044	0.166864	5
58006	34039	0.165105	5
58007	34039	0.164121	5
58008	34039	0.162608	5
58009	34039	0.162475	5
58010	34039	0.164194	5
58011	34039	0.164517	5
58012	34039	0.160169	5
58013	34039	0.159053	5
58014	34039	0.160771	5
58015	34039	0.161403	5
58016	34039	0.160933	5
58000	34039	0.160434	6
58001	34039	0.159743	6
58002	9939	0.161586	6
58003	26927	0.162606	6
58004	30631	0.163282	6
58005	31995	0.166026	6
58006	34039	0.166765	6
58007	34039	0.167308	6
58008	34039	0.165634	6
58009	34039	0.164796	6
58010	34039	0.166074	6
58011	34039	0.162093	6
58012	34039	0.16271	6
58013	34039	0.162064	6
58014	34039	0.161653	6
58015	34039	0.159405	6
58016	34039	0.157378	6
58000	34039	0.160434	7
58001	34039	0.159861	7
58002	9915	0.163439	7
58003	26940	0.162751	7
58004	30686	0.160366	7
58005	31969	0.159811	7
58006	34039	0.159582	7
58007	34039	0.158642	7
58008	34039	0.157364	7
58009	34039	0.158216	7
58010	34039	0.157584	7
58011	34039	0.159449	7
58012	34039	0.159361	7
58013	34039	0.159244	7
58014	34039	0.159053	7
58015	34039	0.158583	7
58016	34039	0.155909	7
58000	34039	0.160434	8
58001	34039	0.161109	8
58002	9872	0.158428	8
58003	26847	0.161638	8
58004	30549	0.161609	8
58005	32093	0.160284	8
58006	34039	0.156923	8
58007	34039	0.157643	8
58008	34039	0.1561	8
58009	34039	0.15707	8
58010	34039	0.157981	8
58011	34039	0.15657	8
58012	34039	0.157599	8
58013	34039	0.159567	8
58014	34039	0.1618	8
58015	34039	0.164679	8
58016	34039	0.164502	8
58000	34039	0.160434	9
58001	34039	0.161609	9
58002	9891	0.167071	9
58003	26991	0.169557	9
58004	30666	0.169716	9
58005	31855	0.169487	9
58006	34039	0.169923	9
58007	34039	0.167719	9
58008	34039	0.166309	9
58009	34039	0.169306	9
58010	34039	0.172053	9
58011	34039	0.171965	9
58012	34039	0.172097	9
58013	34039	0.172875	9
58014	34039	0.175196	9
58015	34039	0.17524	9
58016	34039	0.17524	9
58000	34039	0.160434	10
58001	34039	0.16061	10
58002	9999	0.161516	10
58003	26933	0.162719	10
58004	30697	0.162491	10
58005	32030	0.161692	10
58006	34039	0.162226	10
58007	34039	0.164547	10
58008	34039	0.162916	10
58009	34039	0.161814	10
58010	34039	0.162314	10
58011	34039	0.160595	10
58012	34039	0.161785	10
58013	34039	0.16108	10
58014	34039	0.161153	10
58015	34039	0.163078	10
58016	34039	0.165281	10
58000	34039	0.160434	11
58001	34039	0.160654	11
58002	9930	0.162689	11
58003	26876	0.166301	11
58004	30627	0.165752	11
58005	32051	0.162975	11
58006	34039	0.162299	11
58007	34039	0.160948	11
58008	34039	0.162564	11
58009	34039	0.162608	11
58010	34039	0.161021	11
58011	34039	0.161286	11
58012	34039	0.161712	11
58013	34039	0.160933	11
58014	34039	0.161638	11
58015	34039	0.16393	11
58016	34039	0.165354	11
58000	34039	0.160434	12
58001	34039	0.160581	12
58002	9824	0.160322	12
58003	26923	0.16094	12
58004	30671	0.16289	12
58005	31977	0.164884	12
58006	34039	0.165634	12
58007	34039	0.163371	12
58008	34039	0.163562	12
58009	34039	0.162064	12
58010	34039	0.164444	12
58011	34039	0.16556	12
58012	34039	0.165678	12
58013	34039	0.166427	12
58014	34039	0.166015	12
58015	34039	0.164047	12
58016	34039	0.163959	12
58000	34039	0.160434	13
58001	34039	0.158201	13
58002	9963	0.159641	13
58003	26992	0.158677	13
58004	30708	0.1603	13
58005	32077	0.163076	13
58006	34039	0.162417	13
58007	34039	0.162887	13
58008	34039	0.162417	13
58009	34039	0.162373	13
58010	34039	0.160301	13
58011	34039	0.159479	13
58012	34039	0.160625	13
58013	34039	0.164326	13
58014	34039	0.164693	13
58015	34039	0.163797	13
58016	34039	0.166662	13
58000	34039	0.160434	14
58001	34039	0.160169	14
58002	9815	0.161895	14
58003	26928	0.164216	14
58004	30712	0.16347	14
58005	31943	0.162602	14
58006	34039	0.162196	14
58007	34039	0.163606	14
58008	34039	0.162387	14
58009	34039	0.161506	14
58010	34039	0.161109	14
58011	34039	0.160478	14
58012	34039	0.159611	14
58013	34039	0.15779	14
58014	34039	0.15848	14
58015	34039	0.158553	14
58016	34039	0.156791	14
58000	34039	0.160434	15
58001	34039	0.160962	15
58002	9935	0.159235	15
58003	26847	0.158826	15
58004	30716	0.15614	15
58005	32004	0.155621	15
58006	34039	0.154044	15
58007	34039	0.15256	15
58008	34039	0.155777	15
58009	34039	0.155674	15
58010	34039	0.157129	15
58011	34039	0.157202	15
58012	34039	0.157496	15
58013	34039	0.157555	15
58014	34039	0.158759	15
58015	34039	0.160727	15
58016	34039	0.159875	15
58000	34039	0.160434	16
58001	34039	0.15967	16
58002	9912	0.163741	16
58003	26858	0.166896	16
58004	30603	0.166732	16
58005	31980	0.167276	16
58006	34039	0.167631	16
58007	34039	0.166706	16
58008	34039	0.165854	16
58009	34039	0.167543	16
58010	34039	0.169702	16
58011	34039	0.167969	16
58012	34039	0.168909	16
58013	34039	0.169746	16
58014	34039	0.169776	16
58015	34039	0.170319	16
58016	34039	0.1696	16
58000	34039	0.160434	17
58001	34039	0.161095	17
58002	9881	0.160662	17
58003	26974	0.1616	17
58004	30635	0.161368	17
