Generation	Ne	Frequency	Replicate
58000	34039	0.160434	1
58001	34039	0.159082	1
58002	9860	0.542089	1
58003	26917	0.684233	1
58004	30652	0.757275	1
58005	32006	0.804224	1
58006	34039	0.80443	1
58007	34039	0.800376	1
58008	34039	0.802271	1
58009	34039	0.805032	1
58010	34039	0.803299	1
58011	34039	0.804474	1
58012	34039	0.803196	1
58013	34039	0.803799	1
58014	34039	0.80371	1
58015	34039	0.803828	1
58016	34039	0.803608	1
58000	34039	0.160434	2
58001	34039	0.161712	2
58002	10110	0.546439	2
58003	27226	0.688478	2
58004	30707	0.764256	2
58005	32136	0.809699	2
58006	34039	0.807779	2
58007	34039	0.806178	2
58008	34039	0.806678	2
58009	34039	0.806237	2
58010	34039	0.805106	2
58011	34039	0.806208	2
58012	34039	0.807397	2
58013	34039	0.80963	2
58014	34039	0.808323	2
58015	34039	0.809204	2
58016	34039	0.807912	2
58000	34039	0.160434	3
58001	34039	0.159126	3
58002	10189	0.54235	3
58003	26904	0.685103	3
58004	30702	0.760048	3
58005	32183	0.807336	3
58006	34039	0.810467	3
58007	34039	0.812142	3
58008	34039	0.814081	3
58009	34039	0.815329	3
58010	34039	0.814228	3
58011	34039	0.814316	3
58012	34039	0.813919	3
58013	34039	0.814198	3
58014	34039	0.813817	3
58015	34039	0.811584	3
58016	34039	0.810438	3
58000	34039	0.160434	4
58001	34039	0.161829	4
58002	10209	0.544715	4
58003	26793	0.685179	4
58004	30669	0.760801	4
58005	32056	0.806729	4
58006	34039	0.805018	4
58007	34039	0.804577	4
58008	34039	0.806501	4
58009	34039	0.804636	4
58010	34039	0.804709	4
58011	34039	0.803755	4
58012	34039	0.801639	4
58013	34039	0.800112	4
58014	34039	0.798922	4
58015	34039	0.799568	4
58016	34039	0.802506	4
58000	34039	0.160434	5
58001	34039	0.161139	5
58002	10032	0.542863	5
58003	26865	0.689075	5
58004	30755	0.763502	5
58005	32179	0.809534	5
58006	34039	0.809498	5
58007	34039	0.808044	5
58008	34039	0.80963	5
58009	34039	0.810423	5
58010	34039	0.810306	5
58011	34039	0.809278	5
58012	34039	0.808852	5
58013	34039	0.808308	5
58014	34039	0.807647	5
58015	34039	0.807383	5
58016	34039	0.807588	5
58000	34039	0.160434	6
58001	34039	0.159964	6
58002	9924	0.54217	6
58003	27000	0.685833	6
58004	30724	0.760448	6
58005	32141	0.80556	6
58006	34039	0.803843	6
58007	34039	0.805282	6
58008	34039	0.801918	6
58009	34039	0.800699	6
58010	34039	0.797453	6
58011	34039	0.797996	6
58012	34039	0.797776	6
58013	34039	0.795734	6
58014	34039	0.794926	6
58015	34039	0.794926	6
58016	34039	0.794647	6
58000	34039	0.160434	7
58001	34039	0.15992	7
58002	10067	0.54321	7
58003	26881	0.684833	7
58004	30543	0.762253	7
58005	32027	0.806991	7
58006	34039	0.806751	7
58007	34039	0.80753	7
58008	34039	0.810526	7
58009	34039	0.809718	7
58010	34039	0.809997	7
58011	34039	0.812744	7
58012	34039	0.812054	7
58013	34039	0.81129	7
58014	34039	0.810908	7
58015	34039	0.810879	7
58016	34039	0.810996	7
58000	34039	0.160434	8
58001	34039	0.162196	8
58002	10214	0.543421	8
58003	26858	0.684079	8
58004	30643	0.760206	8
58005	32091	0.807906	8
58006	34039	0.807853	8
58007	34039	0.809116	8
58008	34039	0.809057	8
58009	34039	0.808646	8
58010	34039	0.806384	8
58011	34039	0.810423	8
58012	34039	0.812597	8
58013	34039	0.811422	8
58014	34039	0.810497	8
58015	34039	0.812994	8
58016	34039	0.813155	8
58000	34039	0.160434	9
58001	34039	0.162769	9
58002	9993	0.54343	9
58003	27063	0.689465	9
58004	30709	0.765981	9
58005	32193	0.809213	9
58006	34039	0.809924	9
58007	34039	0.810511	9
58008	34039	0.808954	9
58009	34039	0.80916	9
58010	34039	0.80631	9
58011	34039	0.805899	9
58012	34039	0.806898	9
58013	34039	0.805738	9
58014	34039	0.804445	9
58015	34039	0.805649	9
58016	34039	0.805708	9
58000	34039	0.160434	10
58001	34039	0.161168	10
58002	10104	0.542854	10
58003	27117	0.686175	10
58004	30748	0.763009	10
58005	32124	0.808803	10
58006	34039	0.809469	10
58007	34039	0.810159	10
58008	34039	0.814096	10
58009	34039	0.813009	10
58010	34039	0.812362	10
58011	34039	0.814096	10
58012	34039	0.815329	10
58013	34039	0.813787	10
58014	34039	0.815829	10
58015	34039	0.816123	10
58016	34039	0.814316	10
