Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	1
58001	34039	0.159082	24077	9094	868	1
58002	9860	0.542089	0	9030	830	1
58003	26917	0.684233	0	16999	9918	1
58004	30652	0.757275	0	14880	15772	1
58005	32006	0.804224	0	12532	19474	1
58006	34039	0.80443	1274	10766	21999	1
58007	34039	0.800376	1311	10968	21760	1
58008	34039	0.802271	1357	10747	21935	1
58009	34039	0.805032	1302	10669	22068	1
58010	34039	0.803299	1335	10721	21983	1
58011	34039	0.804474	1311	10689	22039	1
58012	34039	0.803196	1313	10772	21954	1
58013	34039	0.803799	1356	10645	22038	1
58014	34039	0.80371	1284	10795	21960	1
58015	34039	0.803828	1273	10809	21957	1
58016	34039	0.803608	1307	10756	21976	1
58000	34039	0.160434	23992	9172	875	2
58001	34039	0.161712	23933	9203	903	2
58002	10110	0.546439	0	9171	939	2
58003	27226	0.688478	0	16963	10263	2
58004	30707	0.764256	0	14478	16229	2
58005	32136	0.809699	0	12231	19905	2
58006	34039	0.807779	1252	10582	22205	2
58007	34039	0.806178	1263	10669	22107	2
58008	34039	0.806678	1331	10499	22209	2
58009	34039	0.806237	1334	10523	22182	2
58010	34039	0.805106	1271	10726	22042	2
58011	34039	0.806208	1280	10633	22126	2
58012	34039	0.807397	1310	10492	22237	2
58013	34039	0.80963	1198	10564	22277	2
58014	34039	0.808323	1263	10523	22253	2
58015	34039	0.809204	1251	10487	22301	2
58016	34039	0.807912	1344	10389	22306	2
58000	34039	0.160434	23992	9172	875	3
58001	34039	0.159126	24097	9051	891	3
58002	10189	0.54235	0	9326	863	3
58003	26904	0.685103	0	16944	9960	3
58004	30702	0.760048	0	14734	15968	3
58005	32183	0.807336	0	12401	19782	3
58006	34039	0.810467	1210	10483	22346	3
58007	34039	0.812142	1212	10365	22462	3
58008	34039	0.814081	1136	10385	22518	3
58009	34039	0.815329	1148	10276	22615	3
58010	34039	0.814228	1195	10257	22587	3
58011	34039	0.814316	1117	10407	22515	3
58012	34039	0.813919	1182	10304	22553	3
58013	34039	0.814198	1182	10285	22572	3
58014	34039	0.813817	1146	10383	22510	3
58015	34039	0.811584	1201	10425	22413	3
58016	34039	0.810438	1210	10485	22344	3
58000	34039	0.160434	23992	9172	875	4
58001	34039	0.161829	23915	9231	893	4
58002	10209	0.544715	0	9296	913	4
58003	26793	0.685179	0	16870	9923	4
58004	30669	0.760801	0	14672	15997	4
58005	32056	0.806729	0	12391	19665	4
58006	34039	0.805018	1271	10732	22036	4
58007	34039	0.804577	1276	10752	22011	4
58008	34039	0.806501	1251	10671	22117	4
58009	34039	0.804636	1289	10722	22028	4
58010	34039	0.804709	1262	10771	22006	4
58011	34039	0.803755	1292	10776	21971	4
58012	34039	0.801639	1299	10906	21834	4
58013	34039	0.800112	1343	10922	21774	4
58014	34039	0.798922	1365	10959	21715	4
58015	34039	0.799568	1345	10955	21739	4
58016	34039	0.802506	1372	10701	21966	4
58000	34039	0.160434	23992	9172	875	5
58001	34039	0.161139	23939	9230	870	5
58002	10032	0.542863	0	9172	860	5
58003	26865	0.689075	0	16706	10159	5
58004	30755	0.763502	0	14547	16208	5
58005	32179	0.809534	0	12258	19921	5
58006	34039	0.809498	1208	10553	22278	5
58007	34039	0.808044	1217	10634	22188	5
58008	34039	0.80963	1201	10558	22280	5
58009	34039	0.810423	1244	10418	22377	5
58010	34039	0.810306	1229	10456	22354	5
58011	34039	0.809278	1222	10540	22277	5
58012	34039	0.808852	1209	10595	22235	5
58013	34039	0.808308	1254	10542	22243	5
58014	34039	0.807647	1250	10595	22194	5
58015	34039	0.807383	1341	10431	22267	5
58016	34039	0.807588	1256	10587	22196	5
58000	34039	0.160434	23992	9172	875	6
58001	34039	0.159964	24038	9112	889	6
58002	9924	0.54217	0	9087	837	6
58003	27000	0.685833	0	16965	10035	6
58004	30724	0.760448	0	14720	16004	6
58005	32141	0.80556	0	12499	19642	6
58006	34039	0.803843	1250	10854	21935	6
58007	34039	0.805282	1330	10596	22113	6
58008	34039	0.801918	1318	10849	21872	6
